ItemID,Weight,Value
1,73,421.63
2,31,118.9
3,81,593.37
4,80,408.63
5,75,709.8
6,17,474.54
7,55,636.65
8,85,918.38
9,81,935.74
10,23,431.67
11,89,688.49
12,87,292.49
13,99,745.06
14,70,321.32
15,58,215.54
16,31,912.24
17,21,742.42
18,82,975.92
19,73,157.04
20,50,400.29
21,9,324.98
22,61,471.24
23,85,836.58
24,19,841.21
25,37,557.82
26,35,851.49
27,75,752.64
28,82,370.9
29,69,973.25
30,36,880.9
31,56,405.79
32,32,366.69
33,21,416.81
34,61,493.21
35,83,979.24
36,73,162.1
37,32,716.16
38,79,934.32
39,69,939.76
40,43,161.24
41,5,974.83
42,44,795.16
43,73,722.77
44,45,756.78
45,36,294.31
46,93,785.08
47,44,630.45
48,16,476.03
49,1,902.13
50,86,932.0
51,84,687.38
52,27,457.17
53,62,349.22
54,33,883.6
55,4,191.56
56,19,896.58
57,26,294.46
58,71,496.5
59,24,504.24
60,33,567.5
61,44,785.25
62,73,337.85
63,71,400.79
64,1,673.08
65,9,268.59
66,48,692.93
67,50,385.33
68,40,959.08
69,15,350.44
70,76,238.4
71,98,505.44
72,59,269.12
73,77,495.88
74,50,628.68
75,48,720.91
76,30,128.19
77,46,340.44
78,50,228.95
79,21,175.55
80,36,987.44
81,9,959.61
82,18,135.34
83,18,517.73
84,60,904.79
85,16,663.52
86,75,703.33
87,63,803.74
88,80,366.58
89,29,541.43
90,68,460.91
91,6,985.99
92,4,779.48
93,64,721.92
94,33,141.92
95,29,504.4
96,1,229.27
97,85,934.94
98,27,277.88
99,65,954.68
100,11,154.96
101,74,446.18
102,41,421.99
103,32,209.87
104,60,315.96
105,39,739.91
106,51,199.67
107,39,800.84
108,77,286.3
109,43,464.76
110,63,620.87
111,57,546.51
112,35,733.7
113,94,480.4
114,75,770.55
115,54,446.54
116,18,702.27
117,45,348.51
118,5,250.71
119,82,210.94
120,8,585.09
121,86,178.86
122,33,856.27
123,95,179.35
124,29,202.33
125,41,228.23
126,43,272.45
127,88,852.81
128,87,729.63
129,24,530.96
130,62,537.79
131,59,162.49
132,24,450.36
133,41,822.0
134,32,494.32
135,87,151.53
136,62,683.14
137,1,851.02
138,94,849.92
139,57,765.73
140,18,438.93
141,75,797.07
142,32,983.08
143,17,834.01
144,61,543.1
145,71,677.68
146,11,542.99
147,47,179.12
148,80,249.04
149,50,182.84
150,84,528.34
151,54,154.26
152,33,447.26
153,71,659.0
154,94,432.74
155,74,218.93
156,87,229.38
157,3,907.67
158,89,775.55
159,42,955.74
160,47,512.81
161,71,336.17
162,20,665.92
163,74,452.83
164,53,190.25
165,27,259.73
166,41,206.11
167,23,391.04
168,68,295.33
169,34,324.31
170,71,923.53
171,18,544.83
172,84,774.92
173,18,203.29
174,28,143.56
175,33,321.04
176,46,249.73
177,29,894.75
178,74,770.33
179,10,800.76
180,5,781.87
181,29,351.73
182,1,589.41
183,12,614.52
184,95,317.98
185,38,511.42
186,85,869.95
187,6,201.7
188,48,547.33
189,83,920.21
