Category,Algorithm,Items,Capacity,TotalValue,TotalWeight,Time(ms),Space(bytes),SelectedCount
TwoAlgorithms,Greedy,1000,10000,274374.19,10000,0.263214111328125,16000,414
TwoAlgorithms,DynamicProgramming,1000,10000,274383.42999999964,10000,1015.3515338897705,10091009,414
TwoAlgorithms,Greedy,2000,10000,380531.9700000001,9998,0.4475116729736328,32000,577
TwoAlgorithms,DynamicProgramming,2000,10000,380565.03000000026,10000,1842.921257019043,20092009,576
TwoAlgorithms,Greedy,3000,10000,471887.2499999997,9997,0.6244182586669922,48000,696
TwoAlgorithms,DynamicProgramming,3000,10000,471955.30000000045,10000,2719.7022438049316,30093009,696
TwoAlgorithms,Greedy,4000,10000,537276.4400000002,9998,0.9047985076904297,64000,795
TwoAlgorithms,DynamicProgramming,4000,10000,537324.53,10000,3469.2063331604004,40094009,796
TwoAlgorithms,Greedy,5000,10000,596264.2900000002,10000,1.0929107666015625,80000,877
TwoAlgorithms,DynamicProgramming,5000,10000,596267.9400000005,10000,4286.398649215698,50095009,876
TwoAlgorithms,Greedy,6000,10000,639255.6500000001,9997,1.2292861938476562,96000,941
TwoAlgorithms,DynamicProgramming,6000,10000,639353.2200000001,10000,5020.84493637085,60096009,941
TwoAlgorithms,Greedy,7000,10000,689866.7500000009,10000,1.440286636352539,112000,1022
TwoAlgorithms,DynamicProgramming,7000,10000,689880.6299999999,10000,5896.39687538147,70097009,1020
TwoAlgorithms,Greedy,8000,10000,759965.5900000012,10000,1.8725395202636719,128000,1107
TwoAlgorithms,DynamicProgramming,8000,10000,759965.5899999996,10000,6586.12585067749,80098009,1107
TwoAlgorithms,Greedy,9000,10000,764319.0199999986,10000,1.8923282623291016,144000,1149
TwoAlgorithms,DynamicProgramming,9000,10000,764319.0200000006,10000,7323.966026306152,90099009,1149
